frame,n_clusters
0,1
1,139
2,159
3,163
4,152
5,167
6,211
7,191
8,165
9,157
10,150
11,141
12,141
13,140
14,136
15,133
16,132
17,129
18,127
19,126
20,124
34,104
47,88
60,78
74,73
88,66
101,56
114,52
128,49
142,47
155,43
168,41
182,41
196,41
209,41
222,39
236,39
250,39
263,38
276,38
290,38
304,35
317,34
330,31
344,31
358,31
371,31
384,31
398,31
412,29
425,28
438,28
452,28
466,28
479,27
480,27
481,27
482,27
483,27
484,27
485,27
486,27
487,27
488,27
489,27
490,27
491,27
492,27
493,27
494,27
495,27
496,27
497,27
498,27
499,27
