time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,0,0,0.014592175789314689,0.7188233274812179,0.014592175789314689
20.0,1,3,11,11,0.01071965649050733,0.3455780763076658,0.01071965649050733
30.0,2,5,12,12,0.007720001487475454,0.44318438426330153,0.007720001487475454
40.0,3,7,14,14,0.005663965902870566,0.4138067917575655,0.005663965902870566
50.0,4,9,15,15,0.0052106065475297746,0.5300963198642552,0.0052106065475297746
60.0,5,11,16,16,0.004586604494699681,0.8485779676936486,0.004586604494699681
70.0,6,13,17,17,0.003957019942032713,0.8902582496887885,0.003957019942032713
80.0,7,15,19,19,0.005537968028654593,0.8160568124564106,0.005537968028654593
90.0,8,17,20,20,0.007278139477322289,0.8888643857842655,0.007278139477322289
