time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,0,0,0.014441041554910206,0.7188233274812179,0.014441041554910206
20.0,1,3,9,9,0.010028470946900032,0.3931485489311378,0.010028470946900032
30.0,2,5,10,10,0.0075319831801429794,0.43868906653473205,0.0075319831801429794
40.0,3,7,11,11,0.007570893163124326,0.38135157996949975,0.007570893163124326
50.0,4,9,12,12,0.005407418048285071,0.4663419263832671,0.005407418048285071
60.0,5,11,14,14,0.006058970347731982,0.8185790019740083,0.006058970347731982
70.0,6,13,15,15,0.0052460512748247964,0.8798231579321152,0.0052460512748247964
80.0,7,15,16,16,0.006206362413928124,0.8602160000660488,0.006206362413928124
90.0,8,17,17,17,0.008405335885965075,0.8700144386912101,0.008405335885965075
