time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,3,3,0.01423448314531805,0.40616120214052787,0.40616120214052787
20.0,1,3,10,10,0.01058175371595476,0.2969989653087277,0.2969989653087277
30.0,2,5,12,12,0.008669279052805724,0.3625739145556704,0.3625739145556704
40.0,3,7,20,20,0.010354029525573977,0.3626186136379485,0.3626186136379485
50.0,4,9,29,142,0.044722559855453294,0.38768633828559684,0.38768633828559684
60.0,5,11,46,371,0.04016423512138502,0.7199679454856494,0.7199679454856494
70.0,6,13,47,384,0.044245525254427494,0.6818148134280161,0.6818148134280161
80.0,7,15,50,425,0.036210131897126914,0.6570604301344274,0.6570604301344274
90.0,8,17,51,438,0.03295761088516722,0.7462552704789822,0.7462552704789822
