time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,0,,0.014692477124693036,0.54040717052115,0.014692477124693036
20.0,1,3,1,,0.013418878049137628,0.49916674876755474,0.013418878049137628
30.0,2,5,3,,0.01613679270755993,0.45128289617908723,0.01613679270755993
40.0,3,7,6,,0.01720511723643356,0.42301806498078903,0.01720511723643356
50.0,4,9,11,,0.01277579356225718,0.5197792746509524,0.01277579356225718
60.0,5,11,12,,0.013866215088137528,0.6835517428444238,0.013866215088137528
70.0,6,13,13,,0.009414096434984958,0.7266634926758977,0.009414096434984958
80.0,7,15,14,,0.008961250997258873,0.7001871131992725,0.008961250997258873
90.0,8,17,15,,0.013465128735528888,0.6644678023300767,0.013465128735528888
