exp_index,sim_index,distance
0,7,1.9744167187104225
1,8,1.8467720756963013
2,9,2.0250757912651864
3,11,2.050353456800313
4,12,2.0580065887155663
5,13,2.06252106204159
6,15,2.1279767861965535
7,16,2.0547973278601113
8,18,1.9444374688378614
9,19,2.1709861994644353
