exp_index,sim_index,distance
0,0,0.5673614802263005
1,1,0.5355147580862611
2,2,0.5155177782603305
3,3,0.49761375590742374
4,4,0.46976621565247145
5,5,0.4807942235775793
6,6,0.4475516061665585
7,7,0.41858540118285775
8,8,0.42160521690988956
9,9,0.518997873887912
10,10,0.5324751582749719
11,14,0.6801580322382919
12,15,0.7521070038360509
13,16,0.7261479140137961
14,17,0.8159403734209589
15,18,0.7012563118159042
16,21,0.8651023031014192
17,22,0.6566123045724794
18,23,0.8328518687353985
