time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,1,1,0.013798206020036579,0.39332129370361135,0.39332129370361135
20.0,1,3,2,2,0.013803032791407925,0.2747216422268101,0.2747216422268101
30.0,2,5,3,3,0.016053887229262608,0.3595489121888997,0.3595489121888997
40.0,3,7,26,101,0.021744476196767944,0.32358433328454583,0.32358433328454583
50.0,4,9,35,222,0.028492015945814388,0.39610189664214057,0.39610189664214057
60.0,5,11,49,412,0.03224463146233734,0.7431444089313635,0.7431444089313635
70.0,6,13,50,425,0.03596662530812749,0.7179737322468731,0.7179737322468731
80.0,7,15,52,452,0.02648877698518971,0.7096049163613806,0.7096049163613806
90.0,8,17,56,481,0.029608370134514672,0.7902981542011804,0.7902981542011804
