time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,1,1,0.013927411085655917,0.4120016530567047,0.013927411085655917
20.0,1,3,8,8,0.011055378979900079,0.3934885064530934,0.011055378979900079
30.0,2,5,9,9,0.007923288195556807,0.3958917334477988,0.007923288195556807
40.0,3,7,10,10,0.006557986653299843,0.3888442555871332,0.006557986653299843
50.0,4,9,12,12,0.0051650393910929685,0.4335466644004601,0.0051650393910929685
60.0,5,11,13,13,0.005582516082501154,0.8190579830813078,0.005582516082501154
70.0,6,13,14,14,0.004059205149764215,0.8190225710538998,0.004059205149764215
80.0,7,15,17,17,0.005755729467936669,0.8642055927586718,0.005755729467936669
90.0,8,17,19,19,0.007998612796092147,0.8869199978742428,0.007998612796092147
