time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,1,1,0.014128150918785984,0.3756842341996133,0.3756842341996133
20.0,1,3,12,12,0.009068006681190838,0.3251758274004389,0.3251758274004389
30.0,2,5,13,13,0.007948260986438693,0.3588414441615123,0.3588414441615123
40.0,3,7,14,14,0.007949798053163754,0.3503219230046293,0.3503219230046293
50.0,4,9,15,15,0.011937657459005489,0.39949630806807623,0.39949630806807623
60.0,5,11,25,88,0.023054991898345808,0.7574679420670523,0.7574679420670523
70.0,6,13,30,155,0.031808818243251526,0.7831490890662925,0.7831490890662925
80.0,7,15,36,236,0.028218167126192472,0.754577201997231,0.754577201997231
90.0,8,17,47,384,0.0402028804784434,0.7727959411345775,0.7727959411345775
