timestep	potential_energy
0	0
5000	-13656.83488
10000	-196346.9629
15000	-351026.3497
20000	-463179.1978
25000	-529014.952
30000	-571854.7508
35000	-601890.3173
40000	-624164.1776
45000	-649186.7074
50000	-663007.5845
55000	-674341.0868
60000	-688638.9355
65000	-696322.776
70000	-704283.5032
75000	-720187.2859
80000	-728375.3992
85000	-732177.8923
90000	-736715.3085
95000	-747296.2577
100000	-752275.7329
105000	-758130.1641
110000	-763313.8834
115000	-769982.9751
120000	-771894.1997
125000	-772366.1023
130000	-772398.0426
135000	-772324.7007
140000	-776355.8393
145000	-779456.5653
150000	-781953.2145
155000	-782493.0874
160000	-785701.1008
165000	-789382.5746
170000	-789746.992
175000	-791395.5209
180000	-794069.6042
185000	-796521.2399
190000	-796995.3328
195000	-797066.9564
200000	-798908.4882
205000	-802955.9494
210000	-804218.6936
215000	-804422.2954
220000	-805223.2764
225000	-806678.9677
230000	-807198.0803
235000	-807771.1772
240000	-810086.2087
245000	-811084.5621
250000	-812295.975
255000	-815368.7771
260000	-817462.4968
265000	-818978.8924
270000	-821862.1636
275000	-825198.0727
280000	-829661.5512
285000	-829870.008
290000	-829907.4071
295000	-829873.8308
300000	-829941.9849
305000	-830516.3658
310000	-831431.2214
315000	-834785.4924
320000	-838156.3473
325000	-839992.245
330000	-840039.4729
335000	-840023.5358
340000	-840105.679
345000	-840042.6368
350000	-840028.6914
355000	-840015.5208
360000	-840013.7657
365000	-840002.356
370000	-840071.7728
375000	-840026.5496
380000	-840074.5904
385000	-840014.9815
390000	-840072.1891
395000	-842870.3919
400000	-844131.6956
405000	-844250.8271
410000	-844251.6914
415000	-844269.0896
420000	-844197.336
425000	-844216.7271
430000	-844289.8318
435000	-844249.2283
440000	-844284.7028
445000	-844212.6996
450000	-844345.8546
455000	-846094.5543
460000	-846222.5342
465000	-846177.5835
470000	-846252.6674
475000	-846220.607
480000	-846214.9761
485000	-846214.3186
490000	-846210.5668
495000	-846139.0462
