frame,n_clusters
0,1
1,178
2,169
3,158
4,147
5,151
6,187
7,218
8,243
9,259
10,252
11,251
12,241
13,238
14,229
15,226
16,224
17,221
18,215
19,214
20,209
34,163
47,138
60,117
74,95
88,80
101,74
114,68
128,63
142,60
155,57
168,55
182,48
196,44
209,44
222,44
236,40
250,38
263,35
276,34
290,34
304,32
317,32
330,32
344,32
358,32
371,31
384,29
398,29
412,28
425,28
438,28
452,28
466,27
479,26
480,26
481,26
482,26
483,26
484,26
485,26
486,26
487,25
488,25
489,25
490,25
491,25
492,25
493,25
494,25
495,25
496,25
497,25
498,25
499,25
