frame,n_clusters
0,1
1,191
2,189
3,196
4,180
5,179
6,192
7,212
8,228
9,236
10,242
11,241
12,237
13,239
14,229
15,219
16,219
17,214
18,206
19,203
20,200
34,150
47,129
60,104
74,97
88,90
101,78
114,68
128,58
142,55
155,51
168,46
182,45
196,39
209,39
222,32
236,30
250,29
263,29
276,29
290,27
304,27
317,26
330,26
344,26
358,25
371,23
384,23
398,23
412,23
425,23
438,23
452,22
466,22
479,21
480,21
481,21
482,21
483,21
484,21
485,21
486,21
487,21
488,21
489,21
490,21
491,21
492,21
493,21
494,21
495,21
496,21
497,21
498,21
499,21
