timestep	potential_energy
0	0
5000	-9583.755044
10000	-112891.1621
15000	-204229.6728
20000	-274376.1904
25000	-330201.0801
30000	-369782.7197
35000	-391639.0513
40000	-409608.2078
45000	-426366.0886
50000	-440078.2361
55000	-451184.7409
60000	-457941.5678
65000	-462995.1145
70000	-469404.7153
75000	-480387.2247
80000	-489769.189
85000	-495891.653
90000	-499228.4599
95000	-504780.0851
100000	-506201.2209
105000	-506826.7304
110000	-508005.247
115000	-509642.6368
120000	-512939.4847
125000	-515027.233
130000	-515738.1285
135000	-516454.5368
140000	-520086.3698
145000	-521003.27
150000	-522290.3557
155000	-523341.2152
160000	-524206.5112
165000	-524682.5745
170000	-524778.0404
175000	-525352.1893
180000	-527646.8372
185000	-531265.4548
190000	-532386.876
195000	-533444.2212
200000	-535176.2968
205000	-535904.9674
210000	-536852.8057
215000	-537443.7747
220000	-538872.298
225000	-539156.0527
230000	-539811.9262
235000	-540034.6055
240000	-541955.4335
245000	-541999.542
250000	-542272.3897
255000	-543652.6515
260000	-545381.4577
265000	-545378.6337
270000	-545545.6211
275000	-546110.6056
280000	-546648.4988
285000	-546818.5858
290000	-549117.3996
295000	-550381.4151
300000	-551676.637
305000	-552190.9889
310000	-552137.1789
315000	-553097.1614
320000	-553300.6664
325000	-553525.9246
330000	-553897.0518
335000	-554633.5095
340000	-556141.3631
345000	-556197.6406
350000	-556189.3731
355000	-556552.0473
360000	-558438.909
365000	-558598.8924
370000	-559002.8629
375000	-560496.0973
380000	-561078.7409
385000	-561113.0559
390000	-561059.4848
395000	-561047.7563
400000	-561083.1369
405000	-561084.4076
410000	-561048.9396
415000	-561087.3458
420000	-561120.0179
425000	-561299.0885
430000	-561552.1271
435000	-561986.8682
440000	-562288.7169
445000	-562202.1585
450000	-562294.7398
455000	-562962.1685
460000	-563961.6616
465000	-563953.7802
470000	-564914.9377
475000	-564867.1331
480000	-565389.8447
485000	-565425.9242
490000	-565482.5328
495000	-565463.6729
