timestep	potential_energy
0	0
5000	-41973.82794
10000	-238856.9312
15000	-282584.5034
20000	-294985.0196
25000	-309114.379
30000	-326201.215
35000	-339326.8694
40000	-341331.5728
45000	-341107.2097
50000	-341537.3451
55000	-348735.7505
60000	-359393.1824
65000	-364143.618
70000	-364925.7011
75000	-366903.925
80000	-378964.4537
85000	-380453.8027
90000	-382782.5262
95000	-386401.6709
