timestep	potential_energy
0	0
5000	1135.157188
10000	-22532.16037
15000	-46518.54345
20000	-70348.56219
25000	-90512.12254
30000	-108921.9412
35000	-120823.7956
40000	-129915.582
45000	-135725.2272
50000	-140204.6619
55000	-144798.0118
60000	-148716.2916
65000	-151909.7471
70000	-155649.9478
75000	-160001.8661
80000	-162788.7171
85000	-164591.0289
90000	-165839.9623
95000	-167039.097
100000	-168134.1496
105000	-169595.5606
110000	-170208.5619
115000	-170965.3954
120000	-171569.4853
125000	-172432.6727
130000	-173144.0386
135000	-173965.6313
140000	-174146.188
145000	-174375.2878
150000	-174617.4196
155000	-175291.8281
160000	-175899.5323
165000	-176216.3158
170000	-177318.3526
175000	-178729.9861
180000	-178875.6803
185000	-179034.396
190000	-179225.4568
195000	-180061.3082
200000	-180382.5698
205000	-181062.1253
210000	-181348.7942
215000	-181741.1128
220000	-181902.7696
225000	-182931.8336
230000	-183319.8149
235000	-183914.5107
240000	-184242.0441
245000	-184519.4359
250000	-184663.3514
255000	-184699.1248
260000	-184771.4252
265000	-185350.7222
270000	-185723.7904
275000	-185960.2903
280000	-186324.3369
285000	-186826.9782
290000	-187201.4241
295000	-187282.4761
300000	-187619.6048
305000	-187666.9463
310000	-188370.4757
315000	-188497.3044
320000	-188475.6449
325000	-188600.521
330000	-189346.5511
335000	-189341.6327
340000	-189334.5969
345000	-189491.7298
350000	-189619.6548
355000	-189623.2
360000	-189629.865
365000	-189765.7607
370000	-189797.4652
375000	-189880.0272
380000	-190031.8208
385000	-190069.7012
390000	-190081.5508
395000	-190176.4535
400000	-190472.9754
405000	-191055.1367
410000	-191227.8358
415000	-191586.419
420000	-191505.7828
425000	-191601.6018
430000	-191975.043
435000	-192025.5417
440000	-192110.0006
445000	-192254.3562
450000	-192292.7058
455000	-192226.0871
460000	-192688.312
465000	-193059.0717
470000	-193232.7036
475000	-193401.155
480000	-193634.2615
485000	-193523.9097
490000	-193579.0903
495000	-193643.5945
