time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,0,0,0.014355434130052943,0.7188233274812179,0.014355434130052943
20.0,1,3,11,11,0.009405373302937748,0.4409590132213858,0.009405373302937748
30.0,2,5,16,16,0.007035388834170434,0.3912723488525289,0.007035388834170434
40.0,3,7,17,17,0.007561406976467344,0.4857542684206171,0.007561406976467344
50.0,4,9,18,18,0.006623766647655387,0.4681815044011318,0.006623766647655387
60.0,5,11,19,19,0.006470447406594254,0.8158467443184948,0.006470447406594254
70.0,6,13,20,20,0.005162151052718891,0.8976465111236351,0.005162151052718891
80.0,7,15,21,34,0.0065158614317261275,0.8503009312240634,0.0065158614317261275
90.0,8,17,22,47,0.012531558155813242,0.9570080280567855,0.012531558155813242
