timestep	potential_energy
0	0
5000	-7235.803338
10000	-111331.1833
15000	-205195.9012
20000	-293714.82
25000	-366748.6369
30000	-424728.7617
35000	-474325.1363
40000	-507021.2054
45000	-534664.9
50000	-556748.9132
55000	-573313.602
60000	-588829.2951
65000	-599533.5153
70000	-618470.3308
75000	-633466.2142
80000	-641217.7385
85000	-653002.5027
90000	-660964.9237
95000	-665416.0605
100000	-669978.4349
105000	-673323.565
110000	-679055.0968
115000	-685402.1249
120000	-691478.655
125000	-697041.3337
130000	-701252.4106
135000	-705409.7026
140000	-715676.2924
145000	-719224.3211
150000	-720422.8619
155000	-724305.0103
160000	-725550.1454
165000	-727740.4827
170000	-730858.4923
175000	-731687.4153
180000	-735694.7731
185000	-740153.3308
190000	-743091.943
195000	-745677.3172
200000	-749269.9597
205000	-749933.092
210000	-751761.5971
215000	-754172.9384
220000	-756692.3862
225000	-757926.2941
230000	-762397.7219
235000	-765623.101
240000	-769209.9044
245000	-771326.7429
250000	-773298.9418
255000	-778885.2311
260000	-780866.7782
265000	-781223.0147
270000	-782878.5943
275000	-783946.0313
280000	-785953.6418
285000	-788190.9514
290000	-792301.8507
295000	-794814.7421
300000	-796290.1074
305000	-796233.4565
310000	-799076.1032
315000	-801723.0841
320000	-803076.2895
325000	-803511.7147
330000	-803483.9333
335000	-805303.7863
340000	-805360.2658
345000	-805370.5934
350000	-805325.7622
355000	-805303.995
360000	-805342.2549
365000	-805613.1948
370000	-807231.9404
375000	-809463.1796
380000	-811327.6898
385000	-812500.2714
390000	-813280.0816
395000	-813295.1546
400000	-813312.1926
405000	-813348.5859
410000	-816376.7937
415000	-817203.193
420000	-819368.0579
425000	-819400.2077
430000	-819457.6717
435000	-819427.7409
440000	-819377.9737
445000	-819358.0903
450000	-819400.8758
455000	-819399.1179
460000	-820701.8756
465000	-821501.0566
470000	-821562.2567
475000	-822363.0067
480000	-823572.815
485000	-823563.9057
490000	-823538.6671
495000	-823507.8367
