frame,n_clusters
0,1
1,200
2,195
3,195
4,170
5,178
6,200
7,200
8,234
9,245
10,247
11,239
12,243
13,229
14,226
15,226
16,217
17,211
18,207
19,202
20,196
34,150
47,114
60,101
74,86
88,78
101,66
114,60
128,58
142,54
155,48
168,46
182,40
196,36
209,36
222,32
236,31
250,30
263,26
276,24
290,24
304,23
317,23
330,22
344,22
358,22
371,21
384,21
398,21
412,21
425,19
438,19
452,18
466,18
479,18
480,18
481,18
482,18
483,18
484,18
485,18
486,18
487,18
488,18
489,18
490,18
491,17
492,16
493,17
494,16
495,16
496,16
497,16
498,16
499,16
