frame,n_clusters
0,1
1,189
2,184
3,194
4,179
5,168
6,203
7,206
8,237
9,252
10,251
11,241
12,238
13,234
14,231
15,231
16,217
17,209
18,198
19,193
20,194
34,150
47,119
60,100
74,86
88,75
101,70
114,64
128,59
142,52
155,52
168,48
182,43
196,40
209,41
222,40
236,36
250,35
263,33
276,33
290,33
304,32
317,31
330,29
344,27
358,26
371,25
384,24
398,24
412,24
425,24
438,23
452,23
466,23
479,23
480,23
481,23
482,23
483,23
484,23
485,23
486,23
487,23
488,23
489,23
490,23
491,23
492,22
493,23
494,23
495,23
496,23
497,23
498,23
499,23
