frame,n_clusters
0,1
1,174
2,184
3,182
4,169
5,158
6,170
7,201
8,216
9,233
10,239
11,243
12,243
13,245
14,235
15,233
16,232
17,230
18,227
19,228
20,218
34,164
47,133
60,116
74,103
88,92
101,84
114,71
128,68
142,62
155,53
168,49
182,46
196,42
209,37
222,35
236,34
250,33
263,33
276,32
290,30
304,30
317,28
330,28
344,26
358,26
371,26
384,25
398,23
412,23
425,23
438,23
452,23
466,23
479,22
480,22
481,22
482,21
483,21
484,21
485,21
486,21
487,21
488,21
489,20
490,20
491,20
492,20
493,20
494,20
495,20
496,20
497,20
498,19
499,19
