Density,U_0,r0,m,gap,score,n_derived,status
0.00363452597081213,193.73784221889215,2.2796800328471765,20.493901928006256,19.443229046927318,0.008001073654852591,39.937130974933574,ok
0.0035800813058338016,126.47491553443605,2.2119881812994415,22.6857862766437,2.3321703635405244,0.009611187998744658,25.017956640184224,ok
0.002580571084284147,186.91433253427547,2.224083135793742,4.088646783688825,13.476700185952218,0.010336017653196082,17.56534696964104,ok
0.0038256362744812744,196.49804829050808,2.2926746386970804,24.66325703401103,20.821035485597108,0.00809770808606682,45.48429251960813,ok
0.004427616743920847,188.2971666256136,2.291375882358601,15.858913744417002,22.452988563786374,0.007877391868423622,38.31190230820337,ok
0.0032488168899949335,129.54761129932848,2.2999149779565213,15.281103989876533,20.688526116308257,0.00725179312893412,35.96963010618479,ok
0.002635737258279793,94.28966840164429,2.2982102555092023,14.712478797003836,26.590426506855955,0.008266225714008806,41.30290530385979,ok
0.0038900977257230016,92.41361663538584,2.3,15.028636827163103,18.704097683689955,0.007795087286053966,33.73273451085306,ok
0.002753184552933952,158.883654055094,2.3,12.193750858204636,20.426228584649433,0.007640392069908169,32.61997944285407,ok
0.003232977263174611,125.07082531508463,2.2892825627695452,18.481986458413942,21.701962239237403,0.008344978300348544,40.183948697651346,ok
0.004153047040363928,151.29759350289714,2.3,15.816976144234456,15.719369837503379,0.007949950802150782,31.536345981737835,ok
0.003476467190830485,287.6050083084166,2.286184089444252,15.029921739058702,17.09419810464482,0.007558351977977756,32.124119843703525,ok
0.004269460728173723,300.0,2.278747545956089,13.268614350940245,19.65496934021591,0.008389713584308145,32.92358369115615,ok
0.0034773434376891357,213.5491965182431,2.3,13.223773571447675,22.164142591823822,0.008064062983751683,35.3879161632715,ok
0.00289569075540181,237.81259564693997,2.292880879893189,18.371381086232095,17.558199156603308,0.007828696770504032,35.9295802428354,ok
0.004485123871588166,245.3001290053613,2.285850308246084,18.22319665415124,14.517563366986609,0.007892357593802314,32.74076002113785,ok
0.002200981888063968,283.6278598015074,2.2827322881890244,19.712790980739925,16.016870461494626,0.008406820882015152,35.72966144223455,ok
0.0022186397224599856,162.28274126058426,2.2971169208801707,14.627334877374848,18.96461320174483,0.008450911434928966,33.591948079119675,ok
0.0035593440946492,217.96796110774878,2.288432586320984,9.94541705033427,13.53108178382624,0.009362039076267174,23.47649883416051,ok
0.0037193015985633755,276.99988436480675,2.289098793731221,19.173387388165583,18.66143922018153,0.007452173189047863,37.834826608347115,ok
