timestep	potential_energy
0	0
5000	-10488.40863
10000	-137260.6242
15000	-254271.3116
20000	-356364.9713
25000	-429934.7517
30000	-476210.3968
35000	-511721.8444
40000	-532929.6089
45000	-543256.4768
50000	-557344.6498
55000	-574469.6098
60000	-585781.1093
65000	-593749.8484
70000	-603861.4133
75000	-612638.8865
80000	-617943.9606
85000	-620232.5753
90000	-621787.0227
95000	-629206.1419
100000	-633145.9135
105000	-633668.1514
110000	-638673.7227
115000	-642684.8946
120000	-647728.7988
125000	-651602.7093
130000	-656808.4791
135000	-663104.5063
140000	-666735.2156
145000	-667837.2684
150000	-670416.3833
155000	-672805.6793
160000	-674155.9603
165000	-676665.0642
170000	-677329.8326
175000	-677310.6608
180000	-679498.3464
185000	-680887.6344
190000	-682826.3442
195000	-682874.1105
200000	-683647.0243
205000	-684922.8499
210000	-686822.7799
215000	-687206.912
220000	-687238.5042
225000	-687237.4928
230000	-687232.5943
235000	-690325.3002
240000	-691671.8164
245000	-692016.4507
250000	-694212.2102
255000	-694886.7171
260000	-695638.2305
265000	-697966.5139
270000	-700121.1744
275000	-700368.0006
280000	-700340.0658
285000	-700392.7516
290000	-700321.7155
295000	-701023.4554
300000	-701060.1039
305000	-702234.3718
310000	-702887.5318
315000	-703819.3577
320000	-703900.2103
325000	-703784.8506
330000	-704631.0727
335000	-705083.3145
340000	-705708.7058
345000	-705774.4039
350000	-705670.0598
355000	-705915.4632
360000	-706586.9796
365000	-707398.8882
370000	-708369.0295
375000	-709022.8044
380000	-709007.0403
385000	-709025.3144
390000	-709204.6798
395000	-709904.3844
400000	-709974.6693
405000	-710165.0001
410000	-710580.8561
415000	-710823.8777
420000	-711060.3085
425000	-711337.6985
430000	-711922.039
435000	-713396.8284
440000	-714128.5619
445000	-715366.5651
450000	-716473.0457
455000	-716480.4602
460000	-717191.7889
465000	-718542.8636
470000	-718904.7666
475000	-719892.8642
480000	-719831.2434
485000	-719803.9956
490000	-719773.3455
495000	-719804.2229
