time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,2,2,0.014037872411232465,0.3968065822431176,0.3968065822431176
20.0,1,3,10,10,0.008738503803557446,0.31755973058307496,0.31755973058307496
30.0,2,5,21,34,0.02761493850517656,0.32609023097111584,0.32609023097111584
40.0,3,7,25,88,0.0417957705265982,0.3387868389357657,0.3387868389357657
50.0,4,9,26,101,0.030942711937543155,0.4068197109882581,0.4068197109882581
60.0,5,11,27,114,0.0335009280108955,0.7645437482100751,0.7645437482100751
70.0,6,13,29,142,0.03385263079099858,0.7693260559485499,0.7693260559485499
80.0,7,15,35,222,0.0305043025670377,0.7427456697080599,0.7427456697080599
90.0,8,17,49,412,0.04014242621411283,0.7804126719665676,0.7804126719665676
