time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,1,1,0.014300550724772073,0.38465145556726754,0.38465145556726754
20.0,1,3,2,2,0.013130078193112807,0.3578677342909311,0.3578677342909311
30.0,2,5,5,5,0.01691770438166059,0.3436537959367085,0.3436537959367085
40.0,3,7,25,88,0.04420141917454021,0.3398159993301473,0.3398159993301473
50.0,4,9,42,317,0.05088395450960972,0.3279403275267388,0.3279403275267388
60.0,5,11,47,384,0.05892893490676301,0.7253606224320419,0.7253606224320419
70.0,6,13,55,480,0.04541720910518526,0.7168630370066313,0.7168630370066313
80.0,7,15,64,489,0.02886931592118275,0.6915607937631885,0.6915607937631885
90.0,8,17,66,491,0.03642057067132835,0.7727158363563651,0.7727158363563651
