frame,n_clusters
0,1
1,143
2,124
3,124
4,113
5,110
6,111
7,140
8,157
9,178
10,186
11,204
12,219
13,224
14,226
15,234
16,246
17,250
18,242
19,246
20,245
34,242
47,214
60,187
74,171
88,155
101,151
114,144
128,136
142,123
155,115
168,104
182,99
196,94
209,91
222,89
236,88
250,84
263,82
276,81
290,79
304,73
317,68
330,66
344,66
358,61
371,60
384,59
398,58
412,54
425,54
438,51
452,50
466,49
479,49
480,48
481,48
482,48
483,48
484,48
485,48
486,47
487,48
488,47
489,46
490,46
491,46
492,46
493,46
494,46
495,46
496,46
497,46
498,46
499,46
