time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,2,2,0.014347252453827859,0.3480882934213249,0.3480882934213249
20.0,1,3,19,19,0.014626029228141975,0.27927334050131297,0.27927334050131297
30.0,2,5,22,47,0.035388456057130126,0.3807358021685108,0.3807358021685108
40.0,3,7,25,88,0.03948016425942839,0.334113642560951,0.334113642560951
50.0,4,9,27,114,0.03802785119371428,0.41956038272651885,0.41956038272651885
60.0,5,11,28,128,0.037915079446366275,0.7600742093371373,0.7600742093371373
70.0,6,13,37,250,0.04426969048880872,0.7664190871200929,0.7664190871200929
80.0,7,15,46,371,0.03721312447922585,0.7580657218777229,0.7580657218777229
90.0,8,17,47,384,0.040370842791427435,0.764466275535113,0.764466275535113
