time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,1,1,0.014106043868021445,0.377766386219817,0.014106043868021445
20.0,1,3,9,9,0.010193600966687507,0.3450474561750025,0.010193600966687507
30.0,2,5,13,13,0.007338814290539505,0.43442910110600363,0.007338814290539505
40.0,3,7,15,15,0.005988411411801099,0.3785099516062065,0.005988411411801099
50.0,4,9,16,16,0.006091630543960874,0.5176347014900083,0.006091630543960874
60.0,5,11,17,17,0.005933682824304286,0.8241616098337317,0.005933682824304286
70.0,6,13,18,18,0.0050627261245864315,0.8962588148999958,0.0050627261245864315
80.0,7,15,19,19,0.007539197469721786,0.8530923963167494,0.007539197469721786
90.0,8,17,20,20,0.008204163434913345,0.897231657782461,0.008204163434913345
