Density,U_0,r0,m,gap,score,n_derived,status
0.0038521989282651863,76.19550388370621,2.2241545362522137,27.83835342115259,14.966266434053455,0.5134597214950607,42.80461985520604,ok
0.0019616275444026493,107.60344040441385,2.2105274072407,28.66811047656603,27.052417279764732,0.5231443655318673,55.72052775633077,ok
0.0040301732997358695,228.94512930332198,2.220020159982489,27.779075308658086,7.819690135368971,0.5223141558937079,35.59876544402706,ok
0.0039913523885513665,50.57579884633858,2.226624870281081,27.747415778018475,14.314058296999335,0.5106651364361668,42.06147407501781,ok
0.004560907129179145,25.400420569208162,2.230092839392924,27.535792600896833,12.45523289338317,0.534812045870946,39.99102549428,ok
0.004029065183136646,185.5703121095437,2.2313079497783965,23.822922483411215,4.0979245855996105,0.5327648537653977,27.920847069010826,ok
0.0036772433375443074,44.90761395719642,2.22634169608511,27.824618521548096,15.140347492122475,0.5419455456777137,42.96496601367057,ok
0.0016503874264006642,134.03766867151444,2.2151855757553673,26.10194313185478,24.330849939162963,0.541979709061793,50.43279307101774,ok
0.004003401916655888,189.79513788326295,2.219548131840758,28.447626861570665,10.433221095488094,0.5241227365544919,38.88084795705876,ok
0.004386386922533007,234.30925829331903,2.2167722802534793,30.0,10.829054570162553,0.51736598626882,40.829054570162555,ok
0.00419235230878082,69.21962113259559,2.225555364124819,27.72846316182095,13.937468007700916,0.5458116477753434,41.66593116952187,ok
0.004511789521564467,215.54094636971166,2.2218279931500984,28.586914732926235,9.654250729606524,0.5211875039066288,38.24116546253276,ok
0.003617548398472267,93.47415460630887,2.222147667480221,27.939073604447646,15.803041974158052,0.5230062299329559,43.7421155786057,ok
0.003967645144594415,66.40018311379353,2.2222283871382986,27.332990462469866,16.64126075455701,0.5115769779483305,43.974251217026875,ok
0.0038915976613360125,64.33160070324045,2.2157518283225843,26.84107131218386,15.382789245850413,0.5319480890248384,42.223860558034275,ok
0.0041354826491136355,227.5418793958772,2.2172097600743457,27.2661092221866,11.429369657671733,0.5178255113566689,38.695478879858335,ok
0.004289393698901256,216.08714970336933,2.2111617746655945,27.72805960394901,9.53679666534839,0.5139873025416194,37.2648562692974,ok
0.004029459184203266,234.84251377262999,2.208641338905025,30.0,9.786130108330187,0.5232121671450037,39.786130108330184,ok
0.004469859317546719,209.96011324270256,2.210768958123259,28.77176978265716,11.823720739759649,0.5345329728054095,40.59549052241681,ok
0.004403172230221906,236.20458721181194,2.2132504408777147,26.83454203510548,9.05065795741308,0.5381212488393984,35.88519999251856,ok
