frame,n_clusters
0,1
1,111
2,119
3,109
4,98
5,91
6,102
7,137
8,147
9,168
10,183
11,200
12,208
13,221
14,225
15,228
16,228
17,239
18,235
19,242
20,241
34,232
47,207
60,188
74,174
88,160
101,147
114,136
128,125
142,116
155,109
168,105
182,102
196,101
209,96
222,95
236,91
250,89
263,87
276,84
290,81
304,80
317,77
330,77
344,75
358,73
371,69
384,68
398,66
412,64
425,62
438,60
452,57
466,55
479,54
480,54
481,54
482,54
483,53
484,54
485,54
486,54
487,54
488,54
489,54
490,54
491,52
492,52
493,52
494,52
495,52
496,52
497,52
498,52
499,52
