frame,n_clusters
0,1
1,185
2,200
3,205
4,178
5,200
6,206
7,189
8,213
9,219
10,233
11,224
12,232
13,223
14,228
15,215
16,203
17,197
18,194
19,187
20,190
34,128
47,111
60,85
74,72
88,63
101,62
114,54
128,50
142,47
155,43
168,39
182,35
196,34
209,30
222,27
236,26
250,23
263,24
276,24
290,21
304,21
317,19
330,17
344,18
358,18
371,15
384,13
398,12
412,12
425,12
438,10
452,10
466,10
479,10
480,9
481,8
482,8
483,8
484,8
485,8
486,8
487,8
488,8
489,8
490,8
491,8
492,8
493,8
494,8
495,8
496,8
497,8
498,8
499,8
