timestep	potential_energy
0	0
5000	1429.116514
10000	-23727.32916
15000	-49930.58022
20000	-76088.92423
25000	-100214.5425
30000	-116445.4442
35000	-127826.1426
40000	-137244.1748
45000	-146562.4182
50000	-152575.0033
55000	-156357.8123
60000	-161232.1733
65000	-164409.132
70000	-166666.5406
75000	-168276.8316
80000	-171468.4026
85000	-174071.5415
90000	-175638.5429
95000	-177331.9153
100000	-179485.2908
105000	-181487.2852
110000	-183301.2493
115000	-183968.1526
120000	-184550.1014
125000	-185460.4236
130000	-186972.6899
135000	-187989.7604
140000	-189092.4695
145000	-189984.5947
150000	-190787.8337
155000	-191917.5494
160000	-193117.7365
165000	-194060.0189
170000	-195017.493
175000	-195575.2789
180000	-195844.0844
185000	-196460.9017
190000	-196534.384
195000	-196703.782
200000	-196984.7209
205000	-197638.1058
210000	-198176.9752
215000	-198812.2616
220000	-199097.2053
225000	-199564.3207
230000	-200836.7138
235000	-201429.4418
240000	-201811.1141
245000	-201952.9805
250000	-201965.5643
255000	-202009.6487
260000	-202039.6237
265000	-202087.6012
270000	-202541.7554
275000	-202661.0703
280000	-203454.5903
285000	-203735.0903
290000	-204358.5149
295000	-204400.1804
300000	-204483.5895
305000	-204833.75
310000	-205101.633
315000	-205431.0043
320000	-205824.0279
325000	-206141.7023
330000	-206160.4621
335000	-206211.5939
340000	-206174.7452
345000	-206364.7344
350000	-206615.7235
355000	-207198.3241
360000	-207656.9671
365000	-207641.3344
370000	-207731.5622
375000	-207748.0448
380000	-207735.2288
385000	-207934.4036
390000	-207957.4735
395000	-207948.7912
400000	-207893.773
405000	-208006.9746
410000	-208047.4574
415000	-208063.6079
420000	-208040.8259
425000	-208019.8285
430000	-208070.8369
435000	-208085.4917
440000	-208388.9137
445000	-208323.3221
450000	-208372.989
455000	-208385.3106
460000	-208459.6498
465000	-208466.4736
470000	-208515.8211
475000	-208599.8774
480000	-208695.2218
485000	-208791.7662
490000	-208840.4164
495000	-208852.2728
