timestep	potential_energy
0	0
5000	-34038.61646
10000	-414719.8353
15000	-500805.5055
20000	-532739.9232
25000	-553357.2244
30000	-570361.2345
35000	-594567.1925
40000	-616499.1985
45000	-636480.885
50000	-648621.3668
55000	-654949.2639
60000	-664598.5938
65000	-679972.6778
70000	-680406.0844
75000	-686531.3253
80000	-693178.0001
85000	-704293.1135
90000	-711493.5852
95000	-721014.5578
100000	-744674.0931
105000	-760905.6862
110000	-761517.8892
115000	-771546.3793
120000	-773337.3392
125000	-785014.7205
130000	-790075.1671
135000	-791083.8711
140000	-793665.4367
145000	-795781.9886
150000	-796800.1641
155000	-810084.7657
160000	-810314.9221
165000	-816253.2697
170000	-816953.82
175000	-816827.9903
180000	-816985.5419
185000	-816902.5923
190000	-816898.0381
195000	-816875.3134
200000	-816824.9569
205000	-816898.016
210000	-816795.7876
215000	-829291.5739
220000	-830644.2833
225000	-830585.379
230000	-830623.3599
235000	-830589.7068
240000	-830660.9028
245000	-830664.7478
250000	-830602.3789
255000	-830743.1386
260000	-834581.1429
265000	-835395.0523
270000	-835390.0348
275000	-835307.9114
280000	-835256.3153
285000	-835295.0593
290000	-835272.8109
295000	-841413.8254
300000	-847609.8033
305000	-850794.1592
310000	-851742.5618
315000	-854725.7155
320000	-854696.8868
325000	-860185.4521
330000	-877249.0038
335000	-881346.0392
340000	-882060.379
345000	-881800.6761
350000	-881940.6448
355000	-881890.2502
360000	-881854.3094
365000	-881983.4912
370000	-881952.8165
375000	-881899.8127
380000	-881982.8782
385000	-881967.8342
390000	-881980.9927
395000	-881869.3848
400000	-884317.3893
405000	-885300.4368
410000	-890136.5104
415000	-890523.9382
420000	-899643.2922
425000	-899875.0052
430000	-899736.1523
435000	-899833.3747
440000	-899908.6409
445000	-899801.1608
450000	-899924.2904
455000	-899815.676
460000	-899935.786
465000	-899877.2356
470000	-899991.1329
475000	-900019.2473
480000	-903534.8303
485000	-904019.2944
490000	-904048.8909
495000	-904127.23
