frame,n_clusters
0,1
1,188
2,195
3,204
4,186
5,193
6,199
7,208
8,223
9,214
10,207
11,193
12,183
13,178
14,173
15,166
16,159
17,155
18,152
19,148
20,142
34,98
47,76
60,65
74,58
88,47
101,40
114,36
128,32
142,27
155,24
168,24
182,22
196,20
209,20
222,20
236,18
250,17
263,16
276,16
290,16
304,15
317,14
330,14
344,14
358,14
371,13
384,13
398,13
412,13
425,13
438,12
452,12
466,12
479,12
480,12
481,12
482,12
483,11
484,11
485,11
486,11
487,11
488,11
489,11
490,11
491,11
492,11
493,11
494,11
495,11
496,11
497,11
498,11
499,11
