time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,1,1,0.013903647442366787,0.39220787152463726,0.013903647442366787
20.0,1,3,10,10,0.010129734579736559,0.3916726051915792,0.010129734579736559
30.0,2,5,11,11,0.008913560517212918,0.48731994783038635,0.008913560517212918
40.0,3,7,12,12,0.007105507940974105,0.4101181940637202,0.007105507940974105
50.0,4,9,17,17,0.005829610732773922,0.46892822812306495,0.005829610732773922
60.0,5,11,18,18,0.0064279228869147595,0.8430127076179812,0.0064279228869147595
70.0,6,13,19,19,0.004943641000243155,0.9239953959875233,0.004943641000243155
80.0,7,15,20,20,0.0071858750263982295,0.8244191157879628,0.0071858750263982295
90.0,8,17,21,34,0.010665304576516455,0.8887437669989247,0.010665304576516455
