timestep	potential_energy
0	0
5000	-2252.480227
10000	-57996.82793
15000	-113030.7713
20000	-155727.5428
25000	-194891.6448
30000	-227952.092
35000	-252456.3577
40000	-266340.4453
45000	-280505.7796
50000	-290276.8876
55000	-294400.6855
60000	-298360.7307
65000	-303860.3156
70000	-307036.6537
75000	-310494.6143
80000	-314162.0746
85000	-317227.0752
90000	-319931.7522
95000	-324559.9355
100000	-327559.2229
105000	-330385.5848
110000	-331690.2768
115000	-333441.8667
120000	-335613.3146
125000	-338081.3776
130000	-341871.9299
135000	-343925.5453
140000	-346240.3042
145000	-347474.7427
150000	-347498.8635
155000	-348370.1096
160000	-349351.1824
165000	-350284.0889
170000	-350734.4281
175000	-351882.6271
180000	-352781.9969
185000	-353307.0179
190000	-354282.6009
195000	-355423.9678
200000	-357703.4511
205000	-359500.3764
210000	-361077.6541
215000	-361353.897
220000	-362631.1532
225000	-363566.8109
230000	-364884.3939
235000	-365671.5261
240000	-365712.862
245000	-365938.188
250000	-366449.7943
255000	-366553.9243
260000	-366530.6537
265000	-367027.3996
270000	-367443.8115
275000	-367415.1321
280000	-367673.0136
285000	-368772.0443
290000	-369008.2496
295000	-369020.0272
300000	-369109.2806
305000	-369286.4559
310000	-369399.9799
315000	-369428.9455
320000	-369456.201
325000	-370969.3449
330000	-371130.226
335000	-371119.4873
340000	-371229.5182
345000	-371154.8149
350000	-371199.5396
355000	-371106.7958
360000	-371144.0956
365000	-371133.3544
370000	-371084.8984
375000	-371131.3522
380000	-371125.5185
385000	-371179.7597
390000	-371162.185
395000	-371200.9928
400000	-372265.8803
405000	-372642.5075
410000	-373293.7388
415000	-373353.2255
420000	-374055.2323
425000	-374295.6043
430000	-374283.2945
435000	-374777.9685
440000	-374807.1298
445000	-374949.5609
450000	-375200.5467
455000	-375280.5542
460000	-375437.1584
465000	-376040.0134
470000	-376009.0556
475000	-376069.0123
480000	-376887.291
485000	-377426.2099
490000	-377864.2651
495000	-377919.9165
