time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,2,2,0.014324307153083773,0.3907707120982197,0.014324307153083773
20.0,1,3,8,8,0.010224780409488581,0.4602632531405724,0.010224780409488581
30.0,2,5,10,10,0.007628182819049138,0.47269521806794224,0.007628182819049138
40.0,3,7,11,11,0.005694146617113062,0.36618717517607413,0.005694146617113062
50.0,4,9,15,15,0.007285626051931755,0.6680150017386128,0.007285626051931755
60.0,5,11,16,16,0.005062474547662955,0.8247051887413556,0.005062474547662955
70.0,6,13,17,17,0.004248187557362485,0.9036629916275147,0.004248187557362485
80.0,7,15,18,18,0.005382484516758269,0.8824425066460453,0.005382484516758269
90.0,8,17,19,19,0.007219369028980754,0.883915142514978,0.007219369028980754
