time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,4,4,0.017323248843711277,0.40415318153341034,0.40415318153341034
20.0,1,3,11,11,0.008648610119651868,0.3421710493748934,0.3421710493748934
30.0,2,5,17,17,0.007466262934971438,0.3534495156233417,0.3534495156233417
40.0,3,7,21,34,0.01763738094333709,0.3398490455153792,0.3398490455153792
50.0,4,9,28,128,0.034519683834414096,0.36806276210193634,0.36806276210193634
60.0,5,11,57,482,0.0482723667809162,0.7141060286691695,0.7141060286691695
70.0,6,13,62,487,0.05817649806712752,0.6817069005601828,0.6817069005601828
80.0,7,15,66,491,0.03548353358406304,0.6644706516058501,0.6644706516058501
90.0,8,17,67,492,0.04469207136025737,0.7579165878904118,0.7579165878904118
