timestep	potential_energy
0	0
5000	-32821.46672
10000	-397851.8746
15000	-579632.6087
20000	-665908.6139
25000	-700950.3018
30000	-726659.3278
35000	-751100.4006
40000	-769657.3721
45000	-783112.7513
50000	-795738.3112
55000	-810757.6082
60000	-821316.502
65000	-833648.5473
70000	-836204.4229
75000	-836533.5818
80000	-838536.5879
85000	-849301.8161
90000	-858968.7856
95000	-862352.5036
100000	-865110.1168
105000	-865196.4699
110000	-866851.9788
115000	-872449.2008
120000	-872787.5724
125000	-875177.8348
130000	-879206.7097
135000	-880577.7931
140000	-887675.1989
145000	-892844.1421
150000	-900516.2567
155000	-901752.9658
160000	-901763.96
165000	-903232.8252
170000	-903853.007
175000	-905789.5443
180000	-911668.8102
185000	-912424.4383
190000	-914862.7178
195000	-919043.5629
200000	-919333.8368
205000	-919313.0274
210000	-919374.2653
215000	-923120.7661
220000	-923128.6861
225000	-924051.5879
230000	-924954.3991
235000	-927252.6518
240000	-930062.0437
245000	-930111.1262
250000	-929990.1594
255000	-932782.2964
260000	-933107.4873
265000	-934768.7865
270000	-935205.9526
275000	-936016.3212
280000	-936622.173
285000	-936681.8664
290000	-938523.9126
295000	-940071.1618
300000	-946306.3653
305000	-947289.7411
310000	-947327.8963
315000	-950267.862
320000	-952366.7479
325000	-952395.7062
330000	-952382.049
335000	-952375.6453
340000	-952471.4939
345000	-952375.5309
350000	-954084.1039
355000	-954241.6405
360000	-954163.0644
365000	-954193.2022
370000	-954236.4635
375000	-954158.6165
380000	-954177.4808
385000	-954204.5088
390000	-954186.0522
395000	-954205.8529
400000	-954132.6388
405000	-954162.5345
410000	-954175.5773
415000	-954132.9089
420000	-954103.1569
425000	-954386.2839
430000	-956229.7553
435000	-956257.1031
440000	-956294.2916
445000	-956324.009
450000	-956315.5191
455000	-956278.9131
460000	-956244.2398
465000	-956280.5976
470000	-956281.3857
475000	-956337.655
480000	-956242.6942
485000	-956238.2755
490000	-956324.3072
495000	-956254.1652
