frame,n_clusters
0,1
1,189
2,202
3,181
4,172
5,184
6,199
7,187
8,226
9,231
10,228
11,239
12,227
13,226
14,231
15,221
16,213
17,211
18,208
19,206
20,198
34,153
47,125
60,103
74,82
88,76
101,69
114,65
128,61
142,60
155,56
168,52
182,50
196,46
209,45
222,40
236,38
250,38
263,36
276,35
290,32
304,30
317,29
330,27
344,27
358,27
371,26
384,25
398,24
412,22
425,21
438,21
452,20
466,19
479,18
480,18
481,18
482,18
483,18
484,18
485,18
486,18
487,18
488,18
489,18
490,18
491,18
492,18
493,18
494,18
495,18
496,18
497,18
498,18
499,18
