energy (micro) eV,q=0.3,q=0.5,q=0.7,q=0.9,q=1.1,q=1.3,q=1.5,q=1.7,q=1.9
-119.6,0.3372997143062664,0.4302781991741162,0.5456449031265956,0.5933573677935763,0.580546117362978,0.6309777274567947,0.6848342998320008,0.7547671977863893,0.8916663315268747
-118.8,0.36344162818311765,0.48832981089589395,0.5254328343686304,0.6002714745131942,0.5908810850082842,0.6530529771960041,0.6865082247535875,0.7720833123185291,0.909745573657844
-118.0,0.38831206687482583,0.5358997192422547,0.5418988818168435,0.5921891836165479,0.6001707248700546,0.6735013265154948,0.6861101811095542,0.784141001868231,0.9239598965644914
-117.2,0.3746950489325754,0.5126974612526056,0.5917854000148155,0.5770946488417947,0.5889850760128067,0.6826296622637034,0.6939790073691909,0.7639675089574693,0.9080053956337434
-116.4,0.3573045933252553,0.5170199832970044,0.5574142212726179,0.5703757156388145,0.5971066246112159,0.6929739070075319,0.6852261976940661,0.7437146351192466,0.8740377839952743
-115.6,0.35411555743783246,0.5302867018037776,0.5164759271087584,0.5476412980576999,0.590919946788083,0.6698774180166077,0.665263467768528,0.73633466419639,0.8465336313817906
-114.8,0.3444271951749149,0.5505869771794882,0.527533069528792,0.5255861062496102,0.550010935508813,0.6485064120306698,0.6692869206978946,0.7283635054335371,0.8533735686412937
-114.0,0.342862707957359,0.5563238008779513,0.5169071313964366,0.5214648541500322,0.5745053811742609,0.6578205386709098,0.6787738097519603,0.7415160033645466,0.8874322252884919
-113.2,0.37567001996405947,0.5256300793532851,0.510903195328967,0.5357922166167308,0.6461854221101032,0.689109523957795,0.7166500912512079,0.7980230998931754,0.9408858909857898
-112.4,0.37615525394347477,0.5205872906052327,0.5415592714948808,0.5680551286459306,0.6711714004870941,0.72518022926989,0.7725053419257515,0.8532749923887532,0.9916681656117203
-111.6,0.3573615515022049,0.5095744256522359,0.5517706278016302,0.5873978131930065,0.6464575747879324,0.7286337329789349,0.7833984812570255,0.8637096618845984,1.0090806134032317
-110.8,0.37866286055396914,0.4976329964395973,0.5297747843202887,0.5797857403926585,0.6230993302309406,0.7340271523692516,0.7650207571451367,0.8455856334661049,1.0101634328438263
-110.0,0.40503106343296547,0.4874597676411827,0.537295020125602,0.5698313914964638,0.6452580808491699,0.7664708459696065,0.7725601195685587,0.8474150510011587,1.029479705171519
-109.2,0.39149528587470894,0.46661599508038276,0.5719126705246572,0.6009652127374944,0.6942765720204368,0.7906353285858128,0.807229454297207,0.8948432390719824,1.0696878743001725
-108.4,0.36723086279244044,0.4632249152271747,0.602628768012765,0.6513878905725171,0.732010585112482,0.8051828514070375,0.8439252851063801,0.946513715629238,1.1053176200215733
-107.6,0.3695546963877648,0.4916078221146472,0.5962211946995492,0.6503844710975207,0.7698921165015931,0.8111471348454049,0.8694431192721938,0.9645151379306103,1.1165932992452883
-106.8,0.3731235486123275,0.5340859858696677,0.5830682201683319,0.6407620315996819,0.7839270382325954,0.8035329674604227,0.8747594461880226,0.9698131890239801,1.1135712156325683
-106.0,0.3715250469212641,0.5155569091850494,0.6040987225035123,0.6572203523062682,0.7679589374700387,0.8227600666928144,0.8798049137372362,0.9701387605468468,1.1249523478108732
-105.2,0.35835375367251515,0.5085495597984449,0.5958502304611392,0.6625757625133474,0.767423391351388,0.853203908778673,0.8992445806796426,0.9714138915667733,1.1495620679933338
-104.4,0.33357624823937865,0.553261659174196,0.5659328682499466,0.6722865716786238,0.7565584779683018,0.8601899122715254,0.9139630965269173,0.9933219925950909,1.1687122667117753
-103.6,0.323764563849599,0.5503514241878469,0.5506772925186169,0.6859284213946428,0.7306223146792147,0.8660352558632102,0.9109529071240038,1.0104456008000382,1.1711657723242714
-102.8,0.34166732882125983,0.5304629756265702,0.5378772051059045,0.6488809199642795,0.7358761537505526,0.848533210836036,0.8832770673990615,0.977361852864579,1.1383452882557967
-102.0,0.355358538057355,0.5329883967795381,0.534277371324097,0.5850091445019027,0.7344062692958154,0.8017479278465437,0.8404593121839059,0.905023163658682,1.0825270611383249
