energy (micro) eV,q=0.3,q=0.5,q=0.7,q=0.9,q=1.1,q=1.3,q=1.5,q=1.7,q=1.9
-119.6,5.254964019350822e-05,6.751555789245281e-05,7.857930175906344e-05,9.217072989384578e-05,7.776058663496368e-05,9.495880441568887e-05,0.0001056434008272386,0.00011837196106302371,0.0001583585051747672
-118.8,5.4099392148565815e-05,7.355939343044212e-05,7.57226011066908e-05,8.40942446806789e-05,8.957642394453304e-05,9.177513923101423e-05,9.225405074427124e-05,0.00011602996418617683,0.00014822768307577836
-118.0,5.504216728038963e-05,7.12136972912701e-05,8.682371895281737e-05,8.825143522262909e-05,7.900185415818301e-05,9.805465307135357e-05,0.00010568177371724677,0.00012005961998496931,0.0001616728402959643
-117.2,5.75012516044422e-05,8.466731417720593e-05,7.811007929554896e-05,8.450408204551756e-05,8.996265677116618e-05,0.00010591713033297771,9.92031946891076e-05,0.00011934504352243372,0.00015596763506184094
-116.4,5.212749102572757e-05,7.17568045443945e-05,8.571670747054075e-05,8.221087989325452e-05,8.52432681098563e-05,0.00010116729434781971,0.00010103903151129441,0.00011660931996828535,0.00014949989389940517
-115.6,5.442965483865646e-05,8.263822301152149e-05,7.925273990031709e-05,8.024365199312797e-05,8.238565596106832e-05,0.00010444350746379144,0.00010496210387996588,0.00011516882428072882,0.00014762787964549737
-114.8,4.824701789576775e-05,8.306195196131695e-05,7.490817319337129e-05,7.765509151125086e-05,8.414206105032974e-05,0.00010027045953115045,9.696398698792744e-05,0.0001126140150038854,0.00014458213757356987
-114.0,5.627661357959286e-05,7.944805339383906e-05,7.738561199466681e-05,7.465971416641293e-05,8.498367267324654e-05,9.640134612015923e-05,0.00010306047215304335,0.00011698952374175513,0.0001510435659113884
-113.2,5.2062737988304816e-05,8.359868448866836e-05,7.571507112089093e-05,7.745168524735608e-05,9.075502882125339e-05,0.00010435390418512564,0.00010485633991298945,0.00011755976900798695,0.000156527311883608
-112.4,5.5247069272561125e-05,7.411355410007575e-05,7.844669112606926e-05,7.970701028170936e-05,9.652942317967541e-05,9.974392447649474e-05,0.00010823421389981636,0.00012632533556883893,0.00015984249410205337
-111.6,5.613317492739375e-05,7.523889600932579e-05,7.590477942091176e-05,8.100740640873252e-05,8.966481487909897e-05,0.00010537925032477294,0.000109782056300016,0.00012453714746850432,0.0001625170419102902
-110.8,5.4220307386220406e-05,7.514421304549545e-05,7.908200131656148e-05,8.16878675577241e-05,8.706747830071271e-05,0.00010540061889614229,0.00010783173807956074,0.00012128039073838219,0.00016286022934622232
-110.0,6.1023321113237266e-05,6.593876921228621e-05,7.556690261993043e-05,7.73596006008963e-05,8.906425427395924e-05,0.00010759145049002088,0.00010550408660286978,0.00011910916294436751,0.0001641837544355848
-109.2,5.3755972122757654e-05,7.307945755261935e-05,8.145843419194752e-05,8.729053395323929e-05,9.325953231906537e-05,0.00011111102944578491,0.00010861766506740152,0.00012664437033179724,0.00017012660236407983
-108.4,5.9921891207588946e-05,6.013886702332309e-05,8.487988058217017e-05,8.245560606807486e-05,0.00010174963677752698,0.00011120734798993157,0.00011288926041977646,0.00012794369408680568,0.00017121695529843795
-107.6,4.857141972555627e-05,7.844468193084767e-05,7.981952072784193e-05,9.111928806438454e-05,0.00010643600242575332,0.00010685007504007433,0.00011568573686681386,0.00013844763045027384,0.00017440389290620536
-106.8,5.932288845671798e-05,6.67128025669928e-05,8.701614949104859e-05,8.523845238569791e-05,0.00010335601933530585,0.00010687326867939642,0.00011454513734855794,0.00013317419428466072,0.00017083815494061107
-106.0,4.922618392620852e-05,7.789932214455141e-05,7.753857965952339e-05,8.740734397714214e-05,0.00010816386882077986,0.00011214069837469184,0.00011972058195553804,0.0001339878131054679,0.00017830627954529092
-105.2,5.564713189322932e-05,7.374758295461588e-05,8.359846822648179e-05,8.650991460250205e-05,9.960167046284339e-05,0.00010773274969936795,0.00011522105115183595,0.00013222215644689592,0.00017213267326443202
-104.4,4.4370431063807727e-05,7.638074625139768e-05,7.573626005109067e-05,9.237084785496488e-05,9.779904571897612e-05,0.00011974230510410164,0.0001213227949510008,0.00013332071529198485,0.00018260832279070889
-103.6,5.180849767040933e-05,7.749023018799963e-05,7.443818108375572e-05,8.783198043307436e-05,9.700351430441025e-05,0.00011191256788795986,0.00011623104096838909,0.0001350212390049965,0.00017123237338163174
-102.8,4.5744600843365704e-05,8.014089346182539e-05,7.262501779610063e-05,8.745462632657308e-05,9.937461729632365e-05,0.00011769617680249266,0.00011935463346227799,0.00013296578272658575,0.00017792458765129987
-102.0,5.4153031534444836e-05,7.350381913733625e-05,7.489231371970515e-05,7.916744311394118e-05,9.708935408611659e-05,0.00010998495818970222,0.00011228636355195467,0.0001246102745065321,0.00016448795603338505
-101.2,5.504380475992346e-05,7.971319002328034e-05,7.943667961394465e-05,8.171601324124145e-05,9.974555910825931e-05,0.00010496528181344146,0.00011750111160493645,0.00011794953961698496,0.00016764001265654163
-100.4,5.6344825248053434e-05,7.436553463289958e-05,7.943559782697456e-05,7.904986348217187e-05,9.258588933394368e-05,0.00010506723307480432,0.0001126262593350307,0.00012045269564090152,0.00016344523315067402
-99.6,5.954251767268711e-05,7.897199388160081e-05,7.849576372158818e-05,8.674680637886686e-05,9.033758342903051e-05,0.00010058346024510893,0.00011458856479985285,0.00012124209762809533,0.0001641217147667505
-98.8,5.4441654804242386e-05,7.89355305846759e-05,8.072422073235753e-05,8.222630234682825e-05,9.532658973014718e-05,0.0001075726528221132,0.00010897802566091736,0.00012597283829753254,0.00016832606512239004
-98.0,5.742049360232746e-05,8.036852682887245e-05,8.163471349523175e-05,7.829280924173146e-05,8.90984426629902e-05,0.0001014215449006607,0.00011414849385065199,0.00012718198485378425,0.00016788457968415678
-97.2,5.748081414866715e-05,7.537656402628339e-05,8.425350494299832e-05,8.420530993759387e-05,9.959435107253236e-05,0.00010904023787612442,0.00011506966451561801,0.00012534575036033657,0.00016959018377662446
-96.4,5.7219552571611984e-05,7.162131053285606e-05,8.695463313867809e-05,7.369399246284764e-05,9.413585164708191e-05,0.00010484376085953487,0.0001207885432806337,0.0001284371498752241,0.0001693796882976729
-95.6,6.151847491633274e-05,6.557680626793639e-05,8.167311028352153e-05,8.409665973835908e-05,9.631732749738154e-05,0.00011546008355238467,0.00011494036476460975,0.00012328003691488955,0.00016688565005301112
-94.8,6.259564630512334e-05,7.044671997790604e-05,8.400128305860256e-05,7.90590987878314e-05,9.566102701118564e-05,0.00010960268117602911,0.00011102672540041515,0.00012571139388092254,0.00017138610518841295
-94.0,6.74456658438943e-05,7.732318544354781e-05,8.80476358345085e-05,8.180115046185035e-05,9.07426132718802e-05,0.0001131805336384223,0.0001090666025706072,0.0001241373907222145,0.00017219526211331403
-93.2,5.903912067482328e-05,7.528953577592103e-05,8.320667571895085e-05,7.79175241712747e-05,9.561874206229221e-05,0.00010371645054132035,0.00011128284150756797,0.0001279945443138832,0.00017637781057451877
-92.4,6.4726760782426e-05,7.978362101036945e-05,9.308514418921254e-05,7.660918033666098e-05,9.50414805015214e-05,0.00010866831848357759,0.00011810136230303742,0.00012663945950254417,0.00017035171585198794
-91.6,5.041221728585224e-05,8.04651673759799e-05,8.13327252406932e-05,7.608677034987673e-05,0.00010328459229811425,0.00010415555876050201,0.0001228375929878005,0.0001275972110466088,0.00017350411025768354
-90.8,5.795659183674951e-05,8.362770292452524e-05,7.854902103849507e-05,8.247032160891128e-05,9.83668573222105e-05,0.00010753894734650677,0.0001294188785062197,0.00013022643737663198,0.0001694092771924646
-90.0,5.653434914059456e-05,8.659526472459781e-05,7.626369685606059e-05,8.04117865997041e-05,0.00010420461850038136,0.0001060958773543973,0.00011892307405127757,0.00012836331218442343,0.00017406367481003163
-89.2,5.6430757537818695e-05,8.04549688427427e-05,7.42467888423102e-05,8.46570565495694e-05,9.136369789199769e-05,0.00010506018184679726,0.00012037814781206225,0.0001308154008502946,0.00017824225577579194
-88.4,6.528467375853407e-05,7.656414937032937e-05,9.150565173141512e-05,8.094370195097537e-05,9.720888162836459e-05,0.00010927752913931223,0.0001139444812137613,0.0001310775325422792,0.00017900221444222715
-87.6,6.0294187653562464e-05,7.64802310184035e-05,8.779782852354473e-05,8.754933802449931e-05,8.988113682681078e-05,0.00011327821717684294,0.00011291211108053533,0.0001323609268897124,0.0001777172896987019
-86.8,5.9616498042171855e-05,7.642875981599187e-05,9.979447803952614e-05,8.493069890354238e-05,9.426605944481327e-05,0.00011217722626939,0.00012370855441196056,0.00013574786473652853,0.00018579915614156357
-86.0,5.839108324023099e-05,8.225897868580613e-05,8.665828573786108e-05,8.752570149678067e-05,9.756922005225165e-05,0.00012450466305224578,0.00011889625655057731,0.0001403434756089513,0.0001808265849504085
-85.2,6.286091613591811e-05,8.284653425155853e-05,9.559920221471351e-05,9.110043383212739e-05,9.833444846831855e-05,0.00012502273656245504,0.0001328875796094612,0.00014458575406109698,0.00019832513936574118
-84.4,5.7930406110790175e-05,7.973143879799067e-05,8.66334833381815e-05,9.194854850091238e-05,0.00010302301469196088,0.0001259277337765203,0.00013263173599851034,0.00015161306651461357,0.0001965122695250947
-83.6,5.647001069193027e-05,8.206556540269079e-05,9.338695988489451e-05,9.663434346872435e-05,0.00010556115868777302,0.00013235281814523032,0.00014133813383967656,0.00015419297831945712,0.00019987111865645918
-82.8,5.136956773908229e-05,7.649982404962425e-05,9.347113748263658e-05,9.374509738169446e-05,0.00010500488589621035,0.00011945363112790055,0.00013456071517902544,0.00015282852625473066,0.0001971217646570225
-82.0,5.150361891176123e-05,8.112830330251472e-05,9.299448452788029e-05,9.239586840953646e-05,0.00011319647429759548,0.00012622522476628107,0.00013337317215223114,0.00015219485072072705,0.00019260313693725617
-81.2,5.930924892593249e-05,8.238577101745971e-05,9.378379810600768e-05,9.430140722190125e-05,0.00010691768876681807,0.00011995067895440111,0.00013056545182941928,0.00014197374091874773,0.00019371503744853498
-80.4,6.479665655349757e-05,8.051222926991298e-05,8.67787407637453e-05,9.471599332427309e-05,0.0001076125436452439,0.00011790363598230488,0.00012065722806484794,0.00015038499129829436,0.00019400874028842788
-79.6,5.841305682818819e-05,8.472381903317775e-05,8.925235621594183e-05,9.927616060003223e-05,0.00010749111723316423,0.00011785597962176881,0.0001260917095271745,0.0001388531728796021,0.00019066034781690643
-78.8,6.65151879406756e-05,7.630470733470218e-05,8.32897181798035e-05,9.491860092095148e-05,0.00010190848827216886,0.00011932234210388974,0.00012127483025358385,0.00014785314743762676,0.000191197533118276
-78.0,5.342335524480196e-05,7.777193212095891e-05,8.471268334361277e-05,9.629413170190867e-05,0.00010985700994250746,0.000119965372480804,0.00012755782900987525,0.00014201180994796343,0.00018909890650587333
-77.2,5.199257251307829e-05,7.03931643992086e-05,8.467138591219451e-05,9.47351457036864e-05,0.0001027722666786103,0.0001223289932142139,0.00013376949307490857,0.00014316460161154372,0.00019174456076079347
-76.4,5.601222901099696e-05,7.718670264675262e-05,8.41999615125594e-05,9.181690029965777e-05,0.00010057990208864693,0.00011969761024464857,0.00013104745634005957,0.00014540767913498988,0.00019730322148965284
-75.6,5.33638552202257e-05,8.13987254987241e-05,9.057413871350492e-05,9.678543861527733e-05,0.00010300584694186189,0.00011987825318740261,0.0001334950481475872,0.00014456639512530644,0.00019017466467459806
-74.8,6.616866382739524e-05,8.361217006080592e-05,8.869118066665073e-05,9.443347640030107e-05,0.00010379184071565783,0.00011617973326649711,0.00012366231190786943,0.0001416777628506297,0.00019378626338414155
-74.0,6.654193880310333e-05,7.968633330469033e-05,8.930981038963914e-05,9.52722615115889e-05,0.00010920540077624469,0.00011160431618475203,0.0001274243561385162,0.0001429363629096849,0.00018319822332580889
-73.2,6.621932415506166e-05,8.21690012957108e-05,9.020665995388598e-05,9.841791726472934e-05,0.00010548437946762588,0.00010517796878336124,0.00012041600925889231,0.00013244752431775282,0.0001773396250369761
-72.4,6.385842085171795e-05,7.48978142625901e-05,8.716608650882021e-05,9.613998098931537e-05,0.00010201655585209967,9.952645360234864e-05,0.00012270275722614946,0.00013846524296928035,0.0001725970719802712
-71.6,5.671170307571499e-05,8.69453233893677e-05,8.894847989544575e-05,9.900151719410678e-05,0.00010091606467452006,0.00010512518962813716,0.00012171791574177784,0.00013484287179194932,0.00017805152565212963
-70.8,4.977503106087077e-05,8.010459803984669e-05,8.85521446403079e-05,0.0001018914954740125,0.00010378946437466575,0.00010876984796190205,0.00011925110637044656,0.0001423479509604331,0.0001790972127068821
-70.0,5.178998755811651e-05,8.534512663834035e-05,9.698533992750079e-05,9.715122762785208e-05,0.00010705683339128347,0.00011361724450001452,0.00012200659108447245,0.0001384318445009898,0.00018973966489062264
-69.2,5.497793041076477e-05,7.842918204302088e-05,9.205442048527266e-05,9.220829682450982e-05,0.00010243276137526787,0.00011579050129779867,0.00011912847287204603,0.0001365177795395562,0.00018119016787788116
-68.4,5.4192947355127795e-05,8.408419760288294e-05,9.278546680148814e-05,8.99246745820985e-05,0.00010381502071201375,0.0001163067951599958,0.00012176179425729057,0.00013421129636252016,0.00018265666792602634
-67.6,5.9996466708797686e-05,8.100305181522691e-05,8.605547303945846e-05,8.471054674536343e-05,0.00010039801813986847,0.000118564118796638,0.0001174804724570567,0.00013170570344192808,0.00018063874472723737
-66.8,5.4935222019361874e-05,8.463358569156831e-05,8.461075731974061e-05,9.190069876886761e-05,0.00010947461899503965,0.00011623671624023704,0.00012204844209016802,0.00013881899072715385,0.00018726448311641368
-66.0,6.177839612284049e-05,8.418393566614521e-05,9.183982537288572e-05,9.289981248869437e-05,0.00010641017965693098,0.00012157180406884888,0.00012506729835340513,0.00014050639611374007,0.00018882793312322886
-65.2,6.206483066588796e-05,8.012351643892784e-05,8.551742946244814e-05,9.539761988943322e-05,0.00011147680684682049,0.00012295675424457724,0.00013147681237272242,0.0001517976450640341,0.00020512135110294322
-64.4,6.761293030921763e-05,8.476612659467462e-05,9.226084084033269e-05,9.830841745175128e-05,0.00011268456181054022,0.00012989390922073433,0.0001369743888032077,0.00015411234039764557,0.00020121227645505702
-63.6,6.155845959677429e-05,8.070799751748381e-05,8.134519016557918e-05,9.664192334653694e-05,0.0001076778868083919,0.0001255426288791002,0.00013622158851692986,0.00016323059983351393,0.00020894909311528696
-62.8,6.58868743913291e-05,8.316856801286809e-05,9.352520121767528e-05,9.497714688522403e-05,0.00010883027364839591,0.00013324647766364112,0.00013953066454536368,0.00016018242480348656,0.0002067558278252585
-62.0,5.507955288438091e-05,8.31105558577156e-05,9.327759646211434e-05,9.807574406046771e-05,0.00010026017761662763,0.00012072170134286394,0.00013774026134971232,0.00016113619116955963,0.00020611540193417321
-61.2,5.821262488247608e-05,8.125839393234197e-05,9.457276479716744e-05,9.437840917734485e-05,9.987205180512912e-05,0.00012903108250411762,0.00013872212712532825,0.0001550089526940175,0.00021260056657886267
-60.4,5.7768905549274346e-05,8.012532393943101e-05,9.477904149312042e-05,9.408552702714568e-05,0.00010455017728251737,0.00012269047718714825,0.00013469120334038532,0.000153255213206716,0.0002138834880899752
-59.6,6.183556723916515e-05,8.370398740018421e-05,9.245998673451818e-05,9.217946365775124e-05,0.00010534445453298631,0.00012240999368655047,0.00013302846492783377,0.00015821010438369862,0.00021866038217606187
