frame,n_clusters
0,1
1,130
2,149
3,144
4,121
5,118
6,164
7,192
8,219
9,244
10,256
11,263
12,262
13,258
14,248
15,247
16,247
17,243
18,240
19,236
20,232
34,187
47,163
60,148
74,128
88,117
101,111
114,106
128,97
142,89
155,85
168,83
182,77
196,73
209,71
222,68
236,62
250,57
263,55
276,52
290,49
304,49
317,45
330,45
344,44
358,44
371,43
384,40
398,40
412,38
425,37
438,37
452,37
466,36
479,35
480,35
481,35
482,35
483,35
484,35
485,35
486,35
487,35
488,35
489,35
490,35
491,35
492,35
493,35
494,35
495,35
496,35
497,35
498,35
499,35
