energy (micro) eV,q=0.3,q=0.5,q=0.7,q=0.9,q=1.1,q=1.3,q=1.5,q=1.7,q=1.9
-119.6,5.563602848765094e-05,7.699813051005163e-05,9.778680790661852e-05,0.0001253811707600432,0.00012768518778909089,0.00016389604109068092,0.00019212827674327948,0.0002227025551845634,0.0002783374464883532
-118.8,5.704397665955653e-05,8.242491369816854e-05,9.455273981603044e-05,0.00011581843752528631,0.00013740471873916843,0.00015729106202428528,0.00017546898275156464,0.00021594958690855797,0.0002638807981895693
-118.0,5.779900064351676e-05,7.937162313336232e-05,0.00010425850038432435,0.00011752390892865506,0.0001228953685501646,0.0001575622465948375,0.00018219759703127377,0.00021193455742431934,0.0002693122107362214
-117.2,6.0280191852109115e-05,9.289051905191384e-05,9.434845233476829e-05,0.00011249769673534065,0.00013169930614309456,0.00016119651775966523,0.0001697211133138179,0.0002056773313964966,0.0002572562807860461
-116.4,5.50920559446465e-05,8.029390908663775e-05,0.00010275627271920937,0.00011039632791086546,0.00012626927059174124,0.00015456085646638795,0.00016891415180149804,0.00019931806389939227,0.00024670551604476655
-115.6,5.7611682596423166e-05,9.170335834622623e-05,9.760767253830573e-05,0.00010979923974232153,0.00012422143042361045,0.00015858523824502656,0.00017225060182363453,0.0001948040791135947,0.000241509005574864
-114.8,5.163781860861104e-05,9.256221775313087e-05,9.399027025023071e-05,0.00010886137018677,0.00012860354424242148,0.00015615806752008614,0.00016400658819802806,0.00019113218480612524,0.00023479383098581373
-114.0,5.98004046086722e-05,8.926467311471463e-05,9.739560580508006e-05,0.0001073466822629168,0.00013086251450091928,0.00015423982419848382,0.00017188859521437684,0.00019600054459740693,0.0002386597366065998
-113.2,5.552942039436537e-05,9.363986862488306e-05,9.611189634611636e-05,0.00011072201111221486,0.00013615884465205242,0.00016321070440582816,0.0001746409290673792,0.00019574442008014333,0.00024190761987271734
-112.4,5.857217647716375e-05,8.368355545730318e-05,9.774379489855121e-05,0.00011147513081747831,0.00014045329667215079,0.0001567709603248554,0.00017539386692046316,0.0002016310224390631,0.00024203976807948182
-111.6,5.9199920615716927e-05,8.393345401538694e-05,9.32957144977346e-05,0.00010969932008650185,0.0001309292472523541,0.00015878202335102722,0.00017304299444852276,0.00019638362346172117,0.00024161018960176136
-110.8,5.686048225036898e-05,8.27455553765403e-05,9.454561551409721e-05,0.00010709300784464938,0.00012463964754185402,0.00015385016427167794,0.00016714306449518593,0.0001900101898699447,0.000239057647362766
-110.0,6.325344441222756e-05,7.251194842898559e-05,8.896527330041535e-05,9.985211790285239e-05,0.00012207810514933023,0.00015029078047937275,0.00015988043743294628,0.0001839583588570136,0.00023668179082737435
-109.2,5.574715431795969e-05,7.89783116164415e-05,9.299382082513477e-05,0.0001067794505487241,0.00012180308803270944,0.0001489530337453899,0.00015737042499732224,0.0001855692079514314,0.00023813221217701622
-108.4,6.180909668891254e-05,6.561129305325082e-05,9.516060505567225e-05,9.938376330264362e-05,0.00012721660266753682,0.0001455054668703972,0.0001570333941559276,0.00018167965586719778,0.00023584429808022158
-107.6,5.040681533434092e-05,8.369277263888643e-05,8.994071688308777e-05,0.00010766509332453912,0.00013031900245360248,0.00013993167754354353,0.00015799100376253535,0.00019104146820166359,0.00023887311028124303
-106.8,6.117587517851283e-05,7.185042163018173e-05,9.757126186692103e-05,0.00010251025955170046,0.000127601574398277,0.00014122894396220983,0.00015796670742934332,0.00018699250271798045,0.00023724564095923208
-106.0,5.113545691935376e-05,8.34096607580621e-05,8.827810581015744e-05,0.0001052046988904439,0.00013389476771451662,0.000147191078743485,0.00016437327264837428,0.00018892906070767996,0.0002448825853610978
-105.2,5.766285660656454e-05,7.96268311226991e-05,9.495047935663616e-05,0.00010515392228800287,0.00012614689544757684,0.0001426819262787148,0.00015952230575762833,0.00018703411926316357,0.00023634032860791416
-104.4,4.6503656306793056e-05,8.22248916742416e-05,8.774591673973192e-05,0.00011149461042076848,0.00012516343298924756,0.00015505877213475847,0.000164914046430412,0.00018613400176740848,0.00024402307018981891
-103.6,5.400982180076238e-05,8.35334523347461e-05,8.675811291118913e-05,0.00010702055290052891,0.0001256774609368802,0.00014769461225342013,0.00016046782145831974,0.00018682673177617,0.00023198044945078942
-102.8,4.8022197777794496e-05,8.660662017567223e-05,8.563963761043319e-05,0.00010813622622013442,0.00012930780861739063,0.00015593423676004504,0.0001671606681533526,0.00018890171795908452,0.00024291416558925577
-102.0,5.6618410936517174e-05,8.04437582424186e-05,8.899407584346934e-05,0.00010243511543644486,0.00012910645749883537,0.0001524906570272376,0.0001654279742933748,0.00018822706687970038,0.00023685128676287172
-101.2,5.772853207569939e-05,8.731121980703763e-05,9.456550999570407e-05,0.00010684201257224148,0.00013509094433812209,0.0001519280526371013,0.00017515362504500728,0.00018789408126867134,0.0002464735925778238
-100.4,5.9234164830410364e-05,8.263332564184288e-05,9.559746894066526e-05,0.00010557266784432028,0.00013085496706123,0.0001554627821141459,0.00017330591454451914,0.00019337512948583901,0.0002457292691925664
-99.6,6.261916834694636e-05,8.767914067995857e-05,9.577078672746337e-05,0.00011447329848032096,0.00013004145425032543,0.00015205876245566908,0.00017703030365799125,0.00019444415891590474,0.00024743948705675134
-98.8,5.7605575120412836e-05,8.770367023995972e-05,9.826657992539352e-05,0.00010990341918991602,0.00013461875727420727,0.00015833598130318035,0.0001715677095335538,0.0001985183186017422,0.00025150244501331083
-98.0,6.057421053418116e-05,8.892212808078038e-05,9.833961358930132e-05,0.0001054273707194048,0.00012720709349377818,0.00015111543830894153,0.00017544809301469513,0.0001991978937262811,0.00025076546571795765
-97.2,6.048879790515088e-05,8.372545618082328e-05,0.00010032208043361357,0.00011066584803286573,0.0001370142019815028,0.00015815742532692355,0.00017515621777421393,0.00019792131595639827,0.0002540716258809603
-96.4,6.007503762962191e-05,7.980561194211506e-05,0.000102815653920784,9.937100513983906e-05,0.00013074639017587915,0.00015366004199382597,0.00018110165255462077,0.00020256350646539112,0.0002563768945895104
-95.6,6.430109449744757e-05,7.357946447918638e-05,9.711648303991546e-05,0.00010969418261652621,0.00013272298720614137,0.00016375988077625459,0.00017622707417753986,0.00019806763523945808,0.00025440676774198223
-94.8,6.523776166450316e-05,7.819020470428145e-05,9.911440757405716e-05,0.00010403459307870869,0.00013207344623490194,0.0001570360901597538,0.00017256652784994529,0.00019947373079320571,0.00025669954174820146
-94.0,6.99168523476012e-05,8.460216305836447e-05,0.00010273339464669666,0.00010587437131555148,0.0001264661439868751,0.00016016581774834447,0.00016959913716467197,0.00019580726225270769,0.00025414118011361965
-93.2,6.157596284389864e-05,8.244198763436079e-05,9.766493801808707e-05,0.0001022495927396707,0.00013097010179211735,0.00015095064650032182,0.00017035800196355002,0.00019775743887934802,0.0002557902397365478
-92.4,6.744304855630711e-05,8.7427279424491e-05,0.00010781552836626794,0.00010158163273879142,0.0001302825072126748,0.00015574999108970794,0.00017585268119701324,0.0001951162809063244,0.00024855766355883554
-91.6,5.31304698209724e-05,8.815126409521384e-05,9.601732793407439e-05,0.00010068545384061468,0.00013747055306506732,0.00014968368976996376,0.00017831124908984986,0.0001943945969726443,0.00025019639875642507
-90.8,6.062042692729643e-05,9.068607696572026e-05,9.304405484999889e-05,0.00010543171798650243,0.00013066535758750556,0.00015095680495648943,0.00018120740899832462,0.00019374485372873913,0.00024286565480231725
-90.0,5.9001459942583104e-05,9.309855658029328e-05,8.991648734035986e-05,0.00010151876384377039,0.00013458088746553287,0.00014715646687674656,0.000168114072714158,0.0001881286520282549,0.00024391372012154698
-89.2,5.860411975607206e-05,8.659929016089953e-05,8.644688616449247e-05,0.00010446196058641475,0.00012024136907878337,0.0001436847249795001,0.00016905639523536205,0.00018843199416160072,0.00024485615471355366
