time_min,saxs_index,dls_index,sim_frame_index,sim_frame,saxs_distance,dls_distance,combined
10.0,0,1,1,1,0.013661786589596783,0.36676391003480474,0.013661786589596783
20.0,1,3,7,7,0.011697648677211216,0.3754439794461887,0.011697648677211216
30.0,2,5,9,9,0.00828095417830586,0.41289236092244996,0.00828095417830586
40.0,3,7,10,10,0.006125238910425459,0.4400171743075941,0.006125238910425459
50.0,4,9,11,11,0.006432486402583597,0.6404435814794764,0.006432486402583597
60.0,5,11,13,13,0.005189006941463234,0.8944192678796125,0.005189006941463234
70.0,6,13,14,14,0.0046608724972765836,0.8988101656026246,0.0046608724972765836
80.0,7,15,15,15,0.007392150001936606,0.8791204859802698,0.007392150001936606
90.0,8,17,16,16,0.009136422654965816,0.8785638135875964,0.009136422654965816
